008,499,0
008,688,0
008,807,0
008,300,0
276,208,0
276,616,0
276,203,0
276,040,0
276,756,0
276,250,0
276,442,0
276,056,0
276,528,0
020,724,0
020,250,0
051,792,0
051,268,0
051,031,0
040,203,0
040,276,0
040,703,0
040,348,0
040,705,0
040,380,0
040,756,0
040,438,0
031,643,0
031,268,0
031,051,0
031,792,0
056,528,0
056,276,0
056,442,0
056,250,0
112,440,0
112,428,0
112,616,0
112,643,0
112,804,0
070,191,0
070,688,0
070,499,0 
100,642,0
100,688,0
100,807,0
100,300,0
100,792,0
191,348,0
191,688,0
191,070,0
191,499,0
191,705,0
208,276,0
703,616,0
703,804,0
703,348,0
703,040,0
703,203,0
705,380,0
705,191,0
705,348,0
705,040,0
724,250,0
724,020,0
724,620,0
724,826,0
233,428,0
233,643,0
246,643,0
246,752,0
246,578,0
250,492,0
250,380,0
250,724,0
250,020,0
250,056,0
250,442,0
250,276,0
250,756,0
268,643,0
268,792,0
268,051,0
268,031,0
300,008,0
300,807,0
300,100,0
300,792,0
348,703,0
348,804,0
348,642,0
348,688,0
348,191,0
348,705,0
348,040,0
372,826,0
380,250,0
380,756,0
380,040,0
380,705,0
380,674,0
398,643,0
428,233,0
428,440,0
428,643,0
428,112,0
438,756,0
438,040,0
440,428,0
440,616,0
440,643,0
440,112,0
442,250,0
442,276,0
442,056,0
807,688,0
807,100,0
807,300,0
807,008,0
498,642,0
498,804,0
492,250,0
499,008,0
499,688,0
499,191,0
499,070,0
578,643,0
578,246,0
578,752,0
528,276,0
528,056,0
616,440,0
616,112,0
616,804,0
616,203,0
616,703,0
616,276,0
620,724,0
826,372,0
203,276,0
203,040,0
203,703,0
203,616,0
642,348,0
642,688,0
642,804,0
642,498,0
642,100,0
643,578,0
643,246,0
643,233,0
643,428,0
643,112,0
643,440,0
643,616,0
643,804,0
643,268,0
643,031,0
643,398,0
674,380,0
688,348,0
688,642,0
688,100,0
688,807,0
688,008,0
688,070,0
688,191,0
688,499,0
752,578,0
752,246,0
756,276,0
756,250,0
756,380,0
756,040,0
756,438,0
792,268,0
792,051,0
792,031,0
792,100,0
792,300,0
804,643,0
804,112,0
804,616,0
804,703,0
804,348,0
804,642,0
804,498,0
